team_id,phase,group,round,totalingred
21301,1,newhire,1,19
21301,1,newhire,2,23
21301,1,newhire,3,23
21301,1,newhire,4,25
21301,1,newhire,5,24
21301,1,newhire,6,27
21301,2,newhire,7,28
21301,2,newhire,8,28
21301,2,newhire,9,31
21301,2,newhire,10,28
21301,2,newhire,11,31
21301,2,newhire,12,28
21312,1,newhire,1,18
21312,1,newhire,2,23
21312,1,newhire,3,22
21312,1,newhire,4,25
21312,1,newhire,5,24
21312,1,newhire,6,29
21312,2,newhire,7,27
21312,2,newhire,8,28
21312,2,newhire,9,27
21312,2,newhire,10,34
21312,2,newhire,11,34
21312,2,newhire,12,34
21410,1,newhire,1,19
21410,1,newhire,2,26
21410,1,newhire,3,30
21410,1,newhire,4,29
21410,1,newhire,5,24
21410,1,newhire,6,33
21410,2,newhire,7,19
21410,2,newhire,8,30
21410,2,newhire,9,22
21410,2,newhire,10,25
21410,2,newhire,11,26
21410,2,newhire,12,29
21411,1,newhire,1,14
21411,1,newhire,2,14
21411,1,newhire,3,19
21411,1,newhire,4,24
21411,1,newhire,5,25
21411,1,newhire,6,24
21411,2,newhire,7,24
21411,2,newhire,8,21
21411,2,newhire,9,25
21411,2,newhire,10,24
21411,2,newhire,11,27
21411,2,newhire,12,25
21412,1,newhire,1,16
21412,1,newhire,2,22
21412,1,newhire,3,25
21412,1,newhire,4,24
21412,1,newhire,5,29
21412,1,newhire,6,28
21412,2,newhire,7,29
21412,2,newhire,8,30
21412,2,newhire,9,31
21412,2,newhire,10,32
21412,2,newhire,11,29
21412,2,newhire,12,29
22010,1,newhire,1,17
22010,1,newhire,2,16
22010,1,newhire,3,24
22010,1,newhire,4,21
22010,1,newhire,5,23
22010,1,newhire,6,25
22010,2,newhire,7,24
22010,2,newhire,8,24
22010,2,newhire,9,26
22010,2,newhire,10,24
22010,2,newhire,11,18
22010,2,newhire,12,27
22011,1,newhire,1,14
22011,1,newhire,2,17
22011,1,newhire,3,15
22011,1,newhire,4,23
22011,1,newhire,5,16
22011,1,newhire,6,24
22011,2,newhire,7,19
22011,2,newhire,8,22
22011,2,newhire,9,23
22011,2,newhire,10,19
22011,2,newhire,11,25
22011,2,newhire,12,26
22012,1,newhire,1,21
22012,1,newhire,2,23
22012,1,newhire,3,26
22012,1,newhire,4,25
22012,1,newhire,5,25
22012,1,newhire,6,27
22012,2,newhire,7,22
22012,2,newhire,8,26
22012,2,newhire,9,31
22012,2,newhire,10,30
22012,2,newhire,11,26
22012,2,newhire,12,31
22412,1,newhire,1,18
22412,1,newhire,2,19
22412,1,newhire,3,27
22412,1,newhire,4,23
22412,1,newhire,5,22
22412,1,newhire,6,32
22412,2,newhire,7,26
22412,2,newhire,8,31
22412,2,newhire,9,34
22412,2,newhire,10,27
22412,2,newhire,11,30
22412,2,newhire,12,27
22512,1,newhire,1,13
22512,1,newhire,2,17
22512,1,newhire,3,20
22512,1,newhire,4,19
22512,1,newhire,5,22
22512,1,newhire,6,22
22512,2,newhire,7,26
22512,2,newhire,8,27
22512,2,newhire,9,25
22512,2,newhire,10,22
22512,2,newhire,11,24
22512,2,newhire,12,27
22712,1,newhire,1,16
22712,1,newhire,2,23
22712,1,newhire,3,27
22712,1,newhire,4,24
22712,1,newhire,5,24
22712,1,newhire,6,31
22712,2,newhire,7,27
22712,2,newhire,8,27
22712,2,newhire,9,31
22712,2,newhire,10,27
22712,2,newhire,11,29
22712,2,newhire,12,30
22811,1,newhire,1,23
